X;Y;Z;Alteration;Au (gr/ton);Ag (gr/ton);Mineralization_d;Mineralization
41355.56382;802967.1532;428.5122821;2;0.39804724;5.13779528;Mixto;2
41350.93943;802979.8457;440.9328848;1;2.42289908;0.70642202;Oxido;1
41350.74904;802980.3688;440.4657925;1;0.77724772;9.146789;Oxido;1
41350.55865;802980.8919;439.9987001;1;0.28546788;3.50917432;Oxido;1
41350.36826;802981.415;439.5316078;1;0.61361468;0.5;Mixto;2
41350.17787;802981.9381;439.0645155;1;1.80583488;3.11926606;Mixto;2
41349.98748;802982.4611;438.5974232;1;0.61434864;3.13761468;Mixto;2
41349.76129;802983.0826;438.0424832;2;0.5928;0.5;Mixto;2
41349.53826;802983.6954;437.4953102;1;0.38482564;7.95729538;Mixto;2
41349.3542;802984.2011;437.0437519;1;0.58109608;12.286121;Mixto;2
41349.90966;802978.7521;440.871;1;1.36984616;17.35384616;Oxido;1
41350.34077;802978.0118;440.865;1;1.1406154;26.22307692;Oxido;1
41350.78032;802977.258;440.831;1;0.64907692;18.2;Oxido;1
41351.16516;802976.6228;440.7935;1;0.85815384;16.67692308;Oxido;1
41351.51663;802975.9867;440.7935;1;1.92323076;30.04615384;Oxido;1
41351.82788;802975.3364;440.777;1;1.80523076;23.6;Oxido;1
41352.08198;802974.6446;440.752;1;1.5326154;3.26923076;Oxido;1
41369.61104;802976.0736;439.95075;5;2.0384;35.2;Oxido;1
41367.3347;802980.5728;442.8;5;1.9;32.8;Oxido;1
41366.9907;802978.7728;442.376;2;1.644;16;Oxido;1
41361.5177;802978.7728;442.8445;5;0.74;16.5;Oxido;1
41358.34704;802984.5743;443.787;1;1.702;34.55;Oxido;1
41378.02232;802992.8656;441.331;2;0.75377776;3.57777778;Mixto;2
41378.26727;802989.9231;441.463;2;2.63555556;7.35555556;Oxido;1
41378.53804;802989.973;441.154;2;1.87333332;5;Oxido;1
41363.68907;802993.674;444.5;1;1.9;67;Oxido;1
41364.05329;802992.253;444.85;1;1.29733332;32;Oxido;1
41364.0047;802993.8978;444.6;1;0.744;20.6;Oxido;1
41364.74689;802991.772;444.996;1;1.036;29.26666666;Oxido;1
41365.33948;802991.3548;444.96;1;1.47333332;63;Oxido;1
41366.6537;802988.0728;444.472;4;3.476;27.8;Oxido;1
41366.7497;802988.7728;444.442;2;3.148;84.2;Oxido;1
41353.0117;802971.5728;440.364;6;2.176;47.93333334;Oxido;1
41365.19966;802993.5765;444.55;1;2.094;19.7;Oxido;1
41366.31082;802994.5474;444.2245;2;2.42266668;44.53333334;Oxido;1
41364.8497;802993.7728;444.4;1;3.644;7.4;Oxido;1
41366.43751;802995.1674;443.9455;2;2.75;29.3;Oxido;1
41367.6649;802995.8266;443.6565;4;1.64;54.13333334;Oxido;1
41365.5757;802994.9728;443.5;2;3.728;49.2;Oxido;1
41370.8747;802956.3728;432.899;5;0.048;0.3;Mixto;2
41353.5807;802971.4728;440.4245;6;3.1;55.93333334;Oxido;1
41370.7397;802999.9728;442.318;4;1.764;1.2;Oxido;1
41374.60642;802998.6718;442.026;2;1.442;1.5;Oxido;1
41359.052;802961.2631;435.4355;6;2.45142856;12.8;Oxido;1
41359.7282;802961.1228;435.4355;6;1.76457144;6.91428572;Oxido;1
41343.8208;802974.6747;437;1;0.44347828;1.25217392;Oxido;1
41344.23833;802974.0832;437.0515;1;0.80139132;25.2173913;Oxido;1
41344.60814;802973.4566;437.125;1;1.27773912;48.89565218;Oxido;1
41345.22918;802973.0848;437.15;1;1.35426088;23.12173914;Oxido;1
41345.82719;802972.7524;437.1265;1;0.23669564;5.9826087;Oxido;1
41346.17161;802972.1449;437.09;1;0.76052172;0.60869566;Oxido;1
41360.25063;802961.222;435.384;6;2.3;17.9;Oxido;1
41359.94669;802971.6149;440.7215;1;1.6368;25.96;Oxido;1
41360.83617;802971.9491;440.738;5;1.60622224;17.66666666;Oxido;1
41361.60599;802972.3978;440.663;5;0.94844444;7.08888888;Oxido;1
41360.47307;802968.8564;439.0565;1;2.048;13;Oxido;1
41361.28669;802969.1228;439.2565;1;3.48369232;16.61538462;Oxido;1
41362.07771;802969.501;439.242;1;2.69292308;11.18461538;Oxido;1
41362.73005;802969.8731;439.2695;5;0.96666668;8.73333334;Oxido;1
41353.98572;802968.1311;438.3625;6;2.19030768;20.76923076;Oxido;1
41353.18397;802968.353;438.2795;6;2.76753848;16.05384616;Oxido;1
41352.36644;802968.5214;438.265;6;2.07492308;16.74615384;Oxido;1
41351.65842;802968.702;438.2835;6;1.506;8.11538462;Oxido;1
41350.96312;802968.9247;438.2745;6;1.87676924;15.8923077;Oxido;1
41350.32258;802969.2412;438.2265;6;1.31369232;22.2923077;Oxido;1
41359.71424;802964.4687;437.027;6;3.49672728;41.1090909;Oxido;1
41360.40948;802964.6772;436.95;6;2.05127272;19.76363636;Oxido;1
41360.8457;802964.8728;436.9;4;2.204;18.2;Oxido;1
41353.08775;802972.9728;440.7645;6;0.933;16.9;Oxido;1
41353.86887;802972.7994;440.7;6;2.266;21.55;Oxido;1
41354.66526;802972.8027;440.7495;6;1.96;44.8;Oxido;1
41355.43523;802972.6438;440.753;1;1.647;28.7;Oxido;1
41356.17953;802972.293;440.7575;1;1.781;23.05;Oxido;1
41356.92634;802972.0423;440.7675;1;0.941;13.8;Oxido;1
41357.67696;802971.8097;440.7755;1;1.525;35.6;Oxido;1
41358.4527;802971.6975;440.7725;1;2.292;35.4;Oxido;1
41351.35121;802971.3852;439.5915;6;1.62986048;25.8744186;Oxido;1
41351.974;802970.93;439.542;6;3.256;37.22790698;Oxido;1
41352.67858;802970.602;439.5;6;1.24827908;14.35813954;Oxido;1
41353.43187;802970.3861;439.5;6;1.89348836;14.70232558;Oxido;1
41354.16834;802970.1894;439.5465;6;2.5831628;23.6883721;Oxido;1
41354.91036;802969.9219;439.5905;6;2.26288372;20.4511628;Oxido;1
41355.66189;802969.6805;439.544;6;1.67162792;18.20465116;Oxido;1
41356.37036;802969.3854;439.565;6;1.99237208;21.37209302;Oxido;1
41357.13316;802969.0436;439.565;6;1.5536744;18.19069768;Oxido;1
41357.9227;802968.8377;439.473;6;1.4672558;23.37209302;Oxido;1
41358.67125;802968.7105;439.423;6;1.08251164;6.49767442;Oxido;1
41347.64167;802964.5539;435.0315;1;0.967;19.8;Oxido;1
41348.31222;802964.1358;435.0915;1;1.101;10.1;Oxido;1
41348.98909;802963.8392;435.1;5;0.9748;9.86;Oxido;1
41349.64666;802963.7371;435.1255;5;1.01;6.56;Oxido;1
41350.29143;802963.5983;435.1125;5;1.008;7.34;Oxido;1
41349.87825;802969.6239;438.213;6;1.74;48.66153846;Oxido;1
41349.34979;802970.3269;438.2415;6;1.34246152;23.66153846;Oxido;1
41348.89822;802971.0779;438.2515;6;0.85076924;10.98461538;Oxido;1
41348.34372;802972.027;438.211;1;0.968;9.16;Oxido;1
41349.34609;802967.337;437.0125;6;2.028;14.73333334;Oxido;1
41349.81116;802966.9693;437.0165;6;3.49333332;29.4;Oxido;1
41350.3437;802966.7728;436.996;6;3.484;23.8;Oxido;1
41350.7397;802966.6728;436.959;6;3.256;23.2;Oxido;1
